DATE;DATE;DOY;"Temperature
(oC)";"Relative Humidity
(%)";"Wind Speed
(m/s)";"Solar Radiation Rs
(w/m2)";"Rain";"Wind Direction
(oC)";"Max. Temperature
(oC)";"Max. Relative Humidity
(%)";"Max.  Wind Speed
(m/s)";"Max. Solar Radiation Rs
(w/m2)";"Min. Temperature
(oC)";"Min. Relative Humidity
(%)";"Min.  Wind Speed
(m/s)";Barometric Pressure (AVG) (mbar);Min. Barometric Pressure (AVG) (mbar);Max. Barometric Pressure (AVG) (mbar)
17/1/2025;Ιαν;17;10.73;98.5;1.84;513.7;0;36.7;10.73;98.5;1.84;513.7;0.02;61.8;0;1034.6;1030;1034.6
18/1/2025;Ιαν;18;13.22;99.2;1.9;528.3;0;36.7;13.22;99.2;1.9;528.3;-0.5;55.8;0;1030.3;1024.2;1030.3
19/1/2025;Ιαν;19;14.1;96.8;1.81;526.4;0;36.7;14.1;96.8;1.81;526.4;0.75;48.8;0;1024.7;1020.1;1024.7
20/1/2025;Ιαν;20;12.25;93.7;2.56;517.1;0;36.7;12.25;93.7;2.56;517.1;0.99;63.3;0;1023.4;1018.6;1023.4
21/1/2025;Ιαν;21;10.51;96;1.6;589.9;0;36.7;10.51;96;1.6;589.9;2.82;67.1;0;1019.6;1015;1019.6
22/1/2025;Ιαν;22;12.86;100;1.92;506.8;0;36.7;12.86;100;1.92;506.8;2.33;72.2;0;1015.8;1013.3;1015.8
23/1/2025;Ιαν;23;13.13;100;2.24;613.3;0;36.7;13.13;100;2.24;613.3;2.09;75.1;0;1017.1;1014.3;1017.1
24/1/2025;Ιαν;24;13.93;100;1.46;566.9;0;36.7;13.93;100;1.46;566.9;4.04;71.3;0;1016;1013.8;1016
25/1/2025;Ιαν;25;16.47;100;2.49;538.6;0;36.7;16.47;100;2.49;538.6;5.29;60.8;0;1021.4;1013.5;1021.4
26/1/2025;Ιαν;26;11.83;97.9;1.9;570.3;0;36.7;11.83;97.9;1.9;570.3;2.63;73.8;0;1022.2;1019.1;1022.2
27/1/2025;Ιαν;27;14.32;100;2.89;568.4;0;36.7;14.32;100;2.89;568.4;5.34;68.8;0;1019.6;1016.3;1019.6
28/1/2025;Ιαν;28;14.91;100;4.13;619.6;0;36.7;14.91;100;4.13;619.6;5.97;68.6;0;1017.1;1014;1017.1
29/1/2025;Ιαν;29;17.01;95.5;2.12;536.1;0;36.7;17.01;95.5;2.12;536.1;8.15;69.4;0;1018.1;1014.3;1018.1
30/1/2025;Ιαν;30;17.89;100;3.67;718.3;0.2;36.7;17.89;100;3.67;718.3;9.63;66.3;0;1018.6;1016.3;1018.6
31/1/2025;Ιαν;31;17.01;100;2.85;543.5;0;36.7;17.01;100;2.85;543.5;6.31;65.9;0;1021.9;1018.3;1021.9
1/2/2025;Φεβ;32;16.91;100;2.45;565.4;0.2;36.7;16.91;100;2.45;565.4;4.58;67.7;0;1023.4;1020.9;1023.4
2/2/2025;Φεβ;33;13.15;100;1.63;450.7;0;36.7;13.15;100;1.63;450.7;6.14;82.5;0;1022.7;1018.6;1022.7
3/2/2025;Φεβ;34;12.22;100;4.05;584;1;36.7;12.22;100;4.05;584;4.87;77.3;0;1018.6;1014.5;1018.6
4/2/2025;Φεβ;35;9.66;84.7;4.56;597.2;0;36.8;9.66;84.7;4.56;597.2;2.14;44.5;0.03;1025.5;1018.6;1025.5
5/2/2025;Φεβ;36;8.9;80.6;2.91;595.7;0;36.7;8.9;80.6;2.91;595.7;-0.35;47.1;0;1026.5;1022.9;1026.5
6/2/2025;Φεβ;37;9.34;85.7;7.04;714.9;0;36.9;9.34;85.7;7.04;714.9;-2.69;49;0;1031.3;1026;1031.3
7/2/2025;Φεβ;38;7.71;65.1;6.46;622.1;0;74.5;7.71;65.1;6.46;622.1;-0.23;39.8;0;1033.6;1030.8;1033.6
8/2/2025;Φεβ;39;8.19;67.1;5.53;596.2;0;77.7;8.19;67.1;5.53;596.2;-0.77;38.2;0.03;1033.1;1028.5;1033.1
9/2/2025;Φεβ;40;7.12;68.1;5.89;628.9;0;66.3;7.12;68.1;5.89;628.9;-0.77;43.3;0.25;1030.5;1027;1030.5
10/2/2025;Φεβ;41;9.05;69.7;3.81;634.8;0;64.5;9.05;69.7;3.81;634.8;-1.45;37.8;0;1028.3;1023.4;1028.3
11/2/2025;Φεβ;42;9.05;79.7;3.99;635.8;0;73.4;9.05;79.7;3.99;635.8;-5.04;31.6;0;1027.2;1024.2;1027.2
12/2/2025;Φεβ;43;9.37;72.4;2.58;641.1;0;73.4;9.37;72.4;2.58;641.1;-3.67;37.5;0;1028;1025;1028
13/2/2025;Φεβ;44;6.97;87.8;0.53;120.1;0;73.3;6.97;87.8;0.53;120.1;1.55;70.1;0;1026;1018.8;1026
14/2/2025;Φεβ;45;11.56;97.8;1.47;289.6;0;73.3;11.56;97.8;1.47;289.6;4.92;76;0;1018.8;1012.7;1018.8
15/2/2025;Φεβ;46;14.74;100;3.75;710;0.2;80.6;14.74;100;3.75;710;0.6;63.3;0;1012.7;1010.2;1012.7
16/2/2025;Φεβ;47;9.85;100;1.57;155.3;5.4;80.4;9.85;100;1.57;155.3;6.41;82.8;0;1012.5;1010.2;1012.5
17/2/2025;Φεβ;48;9.76;96.4;3.08;404.8;4.5;80.4;9.76;96.4;3.08;404.8;4.65;67.8;0;1015.8;1009.9;1015.8
18/2/2025;Φεβ;49;8.39;77.2;3.17;853;0;80.4;8.39;77.2;3.17;853;4.26;61.5;0.25;1019.4;1015;1019.4
19/2/2025;Φεβ;50;7.58;73.7;6.31;898;0;80.3;7.58;73.7;6.31;898;0.99;37.7;0.41;1027.7;1019.1;1027.7
20/2/2025;Φεβ;51;6.02;67.7;4.47;850.1;0;69.8;6.02;67.7;4.47;850.1;-0.47;38.9;0;1029.5;1026.7;1029.5
21/2/2025;Φεβ;52;4.8;60.3;6.06;713.9;0;74.8;4.8;60.3;6.06;713.9;-1.62;34.4;0.13;1033.3;1029;1033.3
22/2/2025;Φεβ;53;4.75;70.9;2.88;698.3;0;74.8;4.75;70.9;2.88;698.3;-4.21;24.7;0;1033.9;1029.5;1033.9
23/2/2025;Φεβ;54;3.48;78.3;1.54;169.4;0;74.7;3.48;78.3;1.54;169.4;-1.77;53.3;0;1031.3;1029;1031.3
24/2/2025;Φεβ;55;3.97;88.5;0.89;197.8;0;74.7;3.97;88.5;0.89;197.8;0.75;67.4;0;1030;1023.9;1030
25/2/2025;Φεβ;56;10.39;95.2;1.26;490.2;0;74.7;10.39;95.2;1.26;490.2;2.58;73.5;0;1023.9;1018.3;1023.9
26/2/2025;Φεβ;57;13.15;99.6;3.3;769.1;0;74.8;13.15;99.6;3.3;769.1;5.09;74.4;0;1019.4;1017.1;1019.4
27/2/2025;Φεβ;58;13.96;100;1.46;473.6;0;74.7;13.96;100;1.46;473.6;6.92;76.5;0;1018.1;1014.3;1018.1
28/2/2025;Φεβ;59;16.47;99;1.62;655.8;0.2;74.7;16.47;99;1.62;655.8;8.8;66.8;0;1017.8;1014.3;1017.8
1/3/2025;Μαρ;60;15.3;100;1.9;653.8;0.2;74.7;15.3;100;1.9;653.8;7.29;62.2;0;1020.6;1017.6;1020.6
2/3/2025;Μαρ;61;13.52;93.2;2.23;420.4;1.6;73.9;13.52;93.2;2.23;420.4;4.8;68.8;0;1020.6;1017.1;1020.6
3/3/2025;Μαρ;62;11.93;85.8;5.89;787.6;0;75.1;11.93;85.8;5.89;787.6;3.58;46;0;1023.2;1019.1;1023.2
4/3/2025;Μαρ;63;14.27;89.9;4.35;736.8;0;74.2;14.27;89.9;4.35;736.8;-0.57;41.7;0;1023.4;1019.1;1023.4
5/3/2025;Μαρ;64;15.66;93.4;3.44;744.6;0;75.9;15.66;93.4;3.44;744.6;1.7;41.2;0;1024.7;1021.6;1024.7
6/3/2025;Μαρ;65;18.77;92.8;2.48;754.9;0;75.9;18.77;92.8;2.48;754.9;2.73;37.3;0;1025.2;1021.9;1025.2
7/3/2025;Μαρ;66;17.86;82.8;3.33;766.6;0;75.9;17.86;82.8;3.33;766.6;3.6;40.8;0;1022.7;1015;1022.7
8/3/2025;Μαρ;67;21.6;80.6;4.14;758.8;0;75.9;21.6;80.6;4.14;758.8;5.12;17.3;0;1015.3;1008.2;1015.3
9/3/2025;Μαρ;68;18.59;71.2;3.67;768.1;0;75.9;18.59;71.2;3.67;768.1;4.85;24.5;0;1012.2;1009.2;1012.2
10/3/2025;Μαρ;69;17.57;96;2.88;745.1;0;75.9;17.57;96;2.88;745.1;2.04;41.3;0;1013.5;1011.5;1013.5
11/3/2025;Μαρ;70;18.16;97;4.48;917.5;0;78.4;18.16;97;4.48;917.5;5.44;73.4;0;1013;1009.9;1013
12/3/2025;Μαρ;71;17.25;100;4.94;377.4;0.8;89.8;17.25;100;4.94;377.4;13.37;85.8;0;1010.7;1007.7;1010.7
13/3/2025;Μαρ;72;18.28;100;5.45;756.8;3;168;18.28;100;5.45;756.8;12.98;78.2;0;1008.4;1003.8;1008.4
14/3/2025;Μαρ;73;20.89;100;2.12;779.3;0;168;20.89;100;2.12;779.3;11;58.5;0;1013.8;1006.9;1013.8
15/3/2025;Μαρ;74;21.21;100;2.28;744.6;0;168;21.21;100;2.28;744.6;9.32;49.7;0;1015;1009.7;1015
16/3/2025;Μαρ;75;18.13;99.2;2.45;626.5;0;167.9;18.13;99.2;2.45;626.5;10.1;73.1;0;1009.4;1004.9;1009.4
17/3/2025;Μαρ;76;20.23;99.1;8.46;775.9;0;252.9;20.23;99.1;8.46;775.9;8.66;35.9;0;1008.2;999.5;1008.2
18/3/2025;Μαρ;77;10.34;90.2;4.21;184.1;1.2;252.9;10.34;90.2;4.21;184.1;3.31;51.6;0;1023.9;1008.2;1023.9
19/3/2025;Μαρ;78;11.51;73.2;5.32;809.6;0;233.2;11.51;73.2;5.32;809.6;0.7;30.3;0;1028.8;1023.9;1028.8
20/3/2025;Μαρ;79;14.03;76.6;4.23;810.6;0;233.5;14.03;76.6;4.23;810.6;-0.42;31.3;0;1028.8;1024.2;1028.8
21/3/2025;Μαρ;80;14.22;80.9;2.69;804.7;0;233.6;14.22;80.9;2.69;804.7;0.89;43.6;0;1025.5;1021.1;1025.5
22/3/2025;Μαρ;81;15.35;90.9;2.85;851.1;0;233;15.35;90.9;2.85;851.1;1.02;54.4;0;1021.4;1016.8;1021.4
23/3/2025;Μαρ;82;15.27;100;2.03;598.2;2.8;216.6;15.27;100;2.03;598.2;7.53;64;0;1019.9;1017.6;1019.9
24/3/2025;Μαρ;83;16.59;100;2.25;360.8;0.8;216.6;16.59;100;2.25;360.8;9.27;83.5;0;1020.4;1017.8;1020.4
25/3/2025;Μαρ;84;16.28;100;2.48;435.1;1.8;216.6;16.28;100;2.48;435.1;11.56;83.9;0;1019.1;1014.5;1019.1
26/3/2025;Μαρ;85;18.57;100;1.79;898.9;0.2;216.7;18.57;100;1.79;898.9;9.51;69.3;0;1014.8;1008.4;1014.8
27/3/2025;Μαρ;86;22.35;97.8;2.58;869.2;0;216.6;22.35;97.8;2.58;869.2;10.68;30.3;0;1008.7;1000;1008.7
28/3/2025;Μαρ;87;16.52;100;4.4;979;9.4;216.4;16.52;100;4.4;979;11;70.2;0;1001.6;998.8;1001.6
29/3/2025;Μαρ;88;14.79;100;1.43;470.2;37;136.1;14.79;100;1.43;470.2;10.54;83.6;0;1001.8;999;1001.8
30/3/2025;Μαρ;89;17.64;100;2.59;846.7;9;136.2;17.64;100;2.59;846.7;11.2;73.3;0;1005.1;1000.8;1005.1
31/3/2025;Μαρ;90;16.57;100;3.16;881.8;7;136.2;16.57;100;3.16;881.8;11.61;77.4;0;1008.2;1002.6;1008.2
1/4/2025;Απρ;91;16.18;100;5.15;465.3;1.6;109.6;16.18;100;5.15;465.3;11.83;70.8;0;1003.3;1000.5;1003.3
2/4/2025;Απρ;92;15.25;91.1;2.03;374;1.4;56.8;15.25;91.1;2.03;374;11.03;68.8;0;1011.5;1001.6;1011.5
3/4/2025;Απρ;93;16.57;99.9;2.69;669.9;0.2;87.2;16.57;99.9;2.69;669.9;9.98;75.7;0;1013.5;1011.5;1013.5
4/4/2025;Απρ;94;18.16;99.5;2.93;940.9;0.2;87.1;18.16;99.5;2.93;940.9;11.27;58.2;0;1013.5;1009.2;1013.5
5/4/2025;Απρ;95;17.08;100;3.24;1079.1;6.4;87.1;17.08;100;3.24;1079.1;9.24;69.7;0;1009.2;1001.8;1009.2
6/4/2025;Απρ;96;17.64;100;3.69;1081.1;9.2;87;17.64;100;3.69;1081.1;3.63;74.3;0;1007.1;999.8;1007.1
7/4/2025;Απρ;97;9.95;95.1;4.12;1067.4;1.2;82.7;9.95;95.1;4.12;1067.4;3.8;60.8;0;1018.3;1004.9;1018.3
8/4/2025;Απρ;98;10.61;89.4;2.6;963.4;0;78.4;10.61;89.4;2.6;963.4;1.02;47.6;0;1019.1;1016;1019.1
9/4/2025;Απρ;99;13.2;89.7;4.05;1043.5;0;86.8;13.2;89.7;4.05;1043.5;2.51;43;0;1016.8;1014.3;1016.8
10/4/2025;Απρ;100;15.37;89.1;6.26;881.8;0;243.3;15.37;89.1;6.26;881.8;2.55;46;0;1015.8;1004.9;1015.8
11/4/2025;Απρ;101;12.37;88.6;3.47;1011.2;0;243.3;12.37;88.6;3.47;1011.2;2.99;47.6;0;1013.5;1008.4;1013.5
12/4/2025;Απρ;102;14.96;93.5;5.49;825.7;0;224.4;14.96;93.5;5.49;825.7;5.48;52.7;0;1015.8;1005.9;1015.8
13/4/2025;Απρ;103;15.96;98.5;2.94;1039.6;0;83;15.96;98.5;2.94;1039.6;4.04;65.6;0;1018.3;1015.8;1018.3
14/4/2025;Απρ;104;15.71;100;1.89;467.8;0;82.8;15.71;100;1.89;467.8;6.56;67.2;0;1020.1;1017.1;1020.1
15/4/2025;Απρ;105;16.71;94;1.99;477.1;0;82.9;16.71;94;1.99;477.1;10.15;52.8;0;1020.4;1018.6;1020.4
16/4/2025;Απρ;106;21.06;87.6;1.68;964.4;0;82.9;21.06;87.6;1.68;964.4;7.12;44.9;0;1021.4;1018.1;1021.4
17/4/2025;Απρ;107;24.97;92.8;1.95;904.8;0;82.8;24.97;92.8;1.95;904.8;10.34;29;0;1019.4;1013.8;1019.4
18/4/2025;Απρ;108;20.3;93.2;2.43;883.8;0;82.6;20.3;93.2;2.43;883.8;11.17;53.9;0;1013.8;1006.6;1013.8
19/4/2025;Απρ;109;19.57;100;1.77;994.2;1;82.6;19.57;100;1.77;994.2;11.25;72;0;1008.9;1005.9;1008.9
20/4/2025;Απρ;110;20.55;100;2.38;999.5;0;82.6;20.55;100;2.38;999.5;9.93;69.2;0;1010.5;1007.7;1010.5
21/4/2025;Απρ;111;23.26;100;1.82;992.7;0;82.5;23.26;100;1.82;992.7;10.49;48.4;0;1009.2;1006.1;1009.2
22/4/2025;Απρ;112;24.89;89.8;3.65;897;0;83;24.89;89.8;3.65;897;12.08;32.6;0;1009.7;1007.4;1009.7
23/4/2025;Απρ;113;21.72;89.2;2.09;890.2;0;83;21.72;89.2;2.09;890.2;11.12;51.3;0;1010.5;1005.6;1010.5
24/4/2025;Απρ;114;20.72;97.1;3.36;894.1;0;82.9;20.72;97.1;3.36;894.1;11.12;55.5;0;1006.9;1002.1;1006.9
25/4/2025;Απρ;115;21.18;96;2.45;901.4;0;82.8;21.18;96;2.45;901.4;9.29;63.3;0;1005.9;1003.1;1005.9
26/4/2025;Απρ;116;22.96;99.4;2.67;902.8;0;82.7;22.96;99.4;2.67;902.8;9.71;52.9;0;1009.9;1004.6;1009.9
27/4/2025;Απρ;117;20.45;77.7;5.17;1046.4;0;82.6;20.45;77.7;5.17;1046.4;14.62;52.1;0;1021.1;1009.7;1021.1
28/4/2025;Απρ;118;18.89;60.3;6.96;942.9;0;78.2;18.89;60.3;6.96;942.9;11.15;27.6;2.41;1022.4;1019.4;1022.4
29/4/2025;Απρ;119;21.16;48.6;6.2;954.6;0;81.8;21.16;48.6;6.2;954.6;8.51;15;0.16;1021.1;1014;1021.1
30/4/2025;Απρ;120;23.01;85.5;5.79;946.8;0;80.1;23.01;85.5;5.79;946.8;6.85;22.4;0;1015.8;1010.2;1015.8
1/5/2025;Μαϊ;121;25.31;86.5;6.85;1030.3;0;119.2;25.31;86.5;6.85;1030.3;10.15;31.4;0;1012;1007.7;1012
2/5/2025;Μαϊ;122;26.07;81.4;5.37;1057.1;0;119.3;26.07;81.4;5.37;1057.1;12.49;30.8;0;1015.3;1011.5;1015.3
3/5/2025;Μαϊ;123;21.79;88.1;1.92;895;0;134;21.79;88.1;1.92;895;9.27;34.5;0;1015.8;1011;1015.8
4/5/2025;Μαϊ;124;23.01;85.9;2.15;898.9;0.2;134.7;23.01;85.9;2.15;898.9;9.49;35.8;0;1011;1005.6;1011
5/5/2025;Μαϊ;125;22.65;94.8;2.79;984.4;0;134.9;22.65;94.8;2.79;984.4;10.12;47.8;0;1006.6;1003.8;1006.6
6/5/2025;Μαϊ;126;23.53;98.6;3.25;874;0;144.5;23.53;98.6;3.25;874;11.2;56.6;0;1008.9;1006.1;1008.9
7/5/2025;Μαϊ;127;24.63;100;2.51;878.4;0;144.6;24.63;100;2.51;878.4;13.78;53.7;0;1009.4;1005.6;1009.4
8/5/2025;Μαϊ;128;25.31;100;2.99;979.5;0;144.6;25.31;100;2.99;979.5;12.91;46;0;1007.9;1003.6;1007.9
9/5/2025;Μαϊ;129;23.87;100;2.12;963.4;0.4;144.5;23.87;100;2.12;963.4;13.88;54;0;1009.2;1005.4;1009.2
10/5/2025;Μαϊ;130;19.25;100;4.87;1052.3;4.8;195.2;19.25;100;4.87;1052.3;14.52;58.9;0;1013.3;1008.2;1013.3
11/5/2025;Μαϊ;131;19.74;96.9;2.5;1179.7;0;151.6;19.74;96.9;2.5;1179.7;10.51;55;0;1013.5;1008.2;1013.5
12/5/2025;Μαϊ;132;21.6;96.1;2.72;1158.2;0.2;159.3;21.6;96.1;2.72;1158.2;13.1;56.2;0;1008.4;1005.1;1008.4
13/5/2025;Μαϊ;133;18.59;92.4;2.9;1050.3;0.6;150.3;18.59;92.4;2.9;1050.3;12.27;51.6;0;1011;1006.9;1011
14/5/2025;Μαϊ;134;20.3;97;2.64;1206.6;0.4;151.8;20.3;97;2.64;1206.6;10.29;40.7;0;1014;1011;1014
15/5/2025;Μαϊ;135;21.72;94.9;3.71;950.2;0;239.8;21.72;94.9;3.71;950.2;7.49;34.3;0;1013;1007.1;1013
16/5/2025;Μαϊ;136;16.2;100;1.13;182.6;11.4;212;16.2;100;1.13;182.6;13.1;74.9;0;1007.1;1000.5;1007.1
17/5/2025;Μαϊ;137;22.09;100;5.69;1086;0.4;263.4;22.09;100;5.69;1086;12.3;38.5;0;1009.7;1000;1009.7
18/5/2025;Μαϊ;138;20.72;92.2;3.27;945.8;0;246;20.72;92.2;3.27;945.8;11.73;45.9;0;1015;1009.4;1015
19/5/2025;Μαϊ;139;22.65;98;3.09;930.7;0;216;22.65;98;3.09;930.7;9.15;43.2;0;1015.3;1010.5;1015.3
20/5/2025;Μαϊ;140;24.5;92.8;3.57;971.7;0;255.3;24.5;92.8;3.57;971.7;10.46;35.7;0;1013.8;1011.5;1013.8
21/5/2025;Μαϊ;141;25.43;93;3.93;1043.5;0;242.2;25.43;93;3.93;1043.5;11.86;40.5;0;1013.3;1010.2;1013.3
22/5/2025;Μαϊ;142;25.28;96.6;2.45;922.9;0;232.2;25.28;96.6;2.45;922.9;13.78;48.1;0;1010.5;1005.6;1010.5
23/5/2025;Μαϊ;143;24.82;98.3;2.34;1064.5;0;187.2;24.82;98.3;2.34;1064.5;12.93;60.8;0;1006.6;1004.1;1006.6
24/5/2025;Μαϊ;144;27.85;100;2.31;983.9;0;187.2;27.85;100;2.31;983.9;15.69;39.3;0;1006.9;1001.8;1006.9
25/5/2025;Μαϊ;145;24.16;100;2.34;820.3;18;172.4;24.16;100;2.34;820.3;12.61;51.8;0;1004.1;1000.5;1004.1
26/5/2025;Μαϊ;146;21.06;100;2.58;1196.8;0.4;22.8;21.06;100;2.58;1196.8;11.83;53.1;0;1008.9;1002.8;1008.9
27/5/2025;Μαϊ;147;24.43;92.5;3.54;1026.4;0;22.8;24.43;92.5;3.54;1026.4;11.1;41;0;1008.9;1006.6;1008.9
28/5/2025;Μαϊ;148;25.24;91.7;2.7;1091.8;0;22.8;25.24;91.7;2.7;1091.8;12.52;36.2;0;1008.4;1005.9;1008.4
29/5/2025;Μαϊ;149;25.72;88.1;3.3;1152.8;0.2;297.6;25.72;88.1;3.3;1152.8;14.1;35.8;0;1007.4;1004.1;1007.4
30/5/2025;Μαϊ;150;25.04;90.4;5.1;1062.5;0.4;316.9;25.04;90.4;5.1;1062.5;15.86;38.3;0;1011.7;1006.4;1011.7
31/5/2025;Μαϊ;151;26.11;80.9;2.82;1272;0;344.1;26.11;80.9;2.82;1272;16.91;42.1;0;1014.5;1011.7;1014.5
1/6/2025;Ιουν;152;28.04;89;4.09;1022.5;0;344.3;28.04;89;4.09;1022.5;13.66;34;0;1015;1012.2;1015
2/6/2025;Ιουν;153;28.26;83.3;3.04;979;0;247.9;28.26;83.3;3.04;979;15.18;40.1;0;1016;1014;1016
3/6/2025;Ιουν;154;29.02;90.7;2.73;902.4;0;192.2;29.02;90.7;2.73;902.4;14.98;44.5;0;1015.8;1012.7;1015.8
4/6/2025;Ιουν;155;31.58;90.3;2.63;935.1;0;192.8;31.58;90.3;2.63;935.1;16.06;41.2;0;1014;1011.5;1014
5/6/2025;Ιουν;156;31.92;89.2;3.22;897.5;0;251.9;31.92;89.2;3.22;897.5;18.4;39.2;0;1013.5;1011;1013.5
6/6/2025;Ιουν;157;32.73;85.5;2.45;862.3;0;248.2;32.73;85.5;2.45;862.3;19.38;37.1;0;1013;1011;1013
7/6/2025;Ιουν;158;29.92;83.7;2.45;861.3;0;245.3;29.92;83.7;2.45;861.3;18.52;48.5;0;1013.5;1010.2;1013.5
8/6/2025;Ιουν;159;30.12;91.6;2.56;896;0;254.5;30.12;91.6;2.56;896;17.54;51.9;0;1012;1008.4;1012
9/6/2025;Ιουν;160;31.36;92.3;2.15;888.7;0;206.4;31.36;92.3;2.15;888.7;17.57;47.3;0;1012;1008.4;1012
10/6/2025;Ιουν;161;31.95;68.1;4.66;880.4;0;206.4;31.95;68.1;4.66;880.4;22.82;39.6;0;1014;1010.7;1014
11/6/2025;Ιουν;162;25.48;50.7;0.47;293.5;0;18.2;32.95;72.8;3.12;978.5;18.08;31.4;0;1009.5;1006.6;1012.2
12/6/2025;Ιουν;163;25.79;57.6;0.82;274.5;0;21.1;31.46;80.2;3.45;852.1;19.42;40.8;0;1010.2;1008.9;1011.2
13/6/2025;Ιουν;164;24.12;63.1;1.01;288.1;0;20.5;29.9;89.3;3.07;1127.9;18.28;38.9;0;1012.5;1011.5;1014
14/6/2025;Ιουν;165;22.27;64.5;0.59;211.9;0;101.5;27.02;85.3;2.71;1033.7;17.4;44.1;0;1013.4;1011.2;1014.8
15/6/2025;Ιουν;166;22.02;67.7;0.85;254.6;0;210.3;27.04;92.6;2.81;1037.6;16.74;45.6;0;1013;1011.2;1014.3
16/6/2025;Ιουν;167;22.74;60.9;1.02;323.6;0;230.5;28.75;89.8;3.6;956.1;15.45;37.5;0;1012.1;1010.5;1013.3
17/6/2025;Ιουν;168;24.41;55.6;0.8;319.4;0;236.4;32.76;83.4;3.16;898.5;15.91;29;0;1012;1011.2;1012.5
18/6/2025;Ιουν;169;25.92;51.4;0.7;313;0;234.5;34.71;75.9;3.66;889.2;17.89;28.5;0;1013.3;1012;1014.3
19/6/2025;Ιουν;170;25.63;60.3;0.77;270;0;236.5;32.19;87.9;3.55;869.6;18.5;39.3;0;1012.1;1009.7;1014.3
20/6/2025;Ιουν;171;26.09;62;1.01;272.7;0;234.8;35.56;88.9;6.22;925.3;19.25;27.9;0;1008.9;1006.6;1010.5
21/6/2025;Ιουν;172;23.41;63.5;1.18;279.6;0;108.5;28.31;85.3;4.6;1078.6;19.28;40.1;0;1012.4;1010.2;1015.5
22/6/2025;Ιουν;173;23.4;51.2;1.07;326;0;203.9;28.85;76.3;4.1;1138.2;17.76;29.5;0;1014.9;1012.5;1016.8
23/6/2025;Ιουν;174;24;54;1.02;326;0;244.2;31.61;85.6;4.78;908.7;15.42;25.7;0;1011.9;1009.4;1013.8
24/6/2025;Ιουν;175;25.41;52.2;0.69;321.5;0;235.2;32.19;82.6;2.57;892.6;16.32;30.5;0;1009.2;1007.1;1010.7
25/6/2025;Ιουν;176;27.78;48.6;0.78;313.8;0;230.3;37.37;84.7;3.59;880.4;18.01;22.1;0;1008.4;1007.1;1009.4
26/6/2025;Ιουν;177;28.83;47;0.95;316;0;236.7;36.05;69.4;3.75;881.8;19.86;27.4;0;1008.2;1006.6;1009.2
