DATE;DATE;DOY;"Temperature
(oC)";"Relative Humidity
(%)";"Wind Speed
(m/s)";"Solar Radiation Rs
(w/m2)";"Rain";"Wind Direction
(oC)";"Max. Temperature
(oC)";"Max. Relative Humidity
(%)";"Max.  Wind Speed
(m/s)";"Max. Solar Radiation Rs
(w/m2)";"Min. Temperature
(oC)";"Min. Relative Humidity
(%)";"Min.  Wind Speed
(m/s)";Barometric Pressure (AVG) (mbar);Min. Barometric Pressure (AVG) (mbar);Max. Barometric Pressure (AVG) (mbar);"ETo
(mm)"
31/3/2022;Μαρ;90;13.6;94.7;2;82.2;0.2;136.3;17.2;100;5.5;777.8;10.7;76.5;0;1007;1005.4;1008.4;2.4
1/4/2022;Απρ;91;15.7;80;2.5;224.8;0.6;149.6;18.5;96.3;7.2;830.6;13.4;64.5;0;1001;997.5;1006.1;3
2/4/2022;Απρ;92;15.3;70.3;3.6;270.5;0;209.1;20.4;100;8.6;904.3;9.4;39.2;0;1000.7;998.8;1002.8;3.7
3/4/2022;Απρ;93;13.4;58.4;3.9;266.7;0;230.7;17.6;85.6;9.1;1078.6;9;32.2;0;1005.8;1002.6;1012;4
4/4/2022;Απρ;94;10.6;67.6;0.9;158;0;187;14.6;91.3;4.1;729;5.3;49;0;1014.9;1012;1017.6;1.7
5/4/2022;Απρ;95;10.2;91.2;0.8;165.4;4.2;186.4;14.9;100;2.8;852.6;7.7;73.1;0;1010.5;1007.7;1013.8;1.7
6/4/2022;Απρ;96;11.7;81.1;0.6;278.3;1.6;158.8;18.9;100;2.5;883.3;3.6;47.5;0;1010.4;1009.2;1012.2;1.4
7/4/2022;Απρ;97;11.5;76.5;0.8;132;0.4;131.8;16.2;92.3;5.2;604;5.8;52.1;0;1001.2;995.5;1009.4;1.6
8/4/2022;Απρ;98;14.2;76;0.9;281.9;0;153.7;21.5;100;3.1;878.4;6;41.3;0;1003.3;999;1007.4;1.7
9/4/2022;Απρ;99;14.1;85.9;1.3;245.9;0;85.5;19.2;98.4;2.7;934.1;8.9;63.2;0;1004.6;1002.3;1007.1;2.1
10/4/2022;Απρ;100;14.8;86.2;1.4;194.9;0;121.8;18.8;100;5.7;927.7;10.4;65.3;0;1001.5;998.8;1003.8;2.2
11/4/2022;Απρ;101;11.4;65.1;1.1;159.9;0;157.4;15.2;92.4;3.9;877.9;7.2;44.8;0;1010.3;1001.6;1017.8;1.8
12/4/2022;Απρ;102;10.4;61.8;1.1;298.7;0;172.3;16;84.9;4.1;912.1;3.4;33.2;0;1017.5;1015.8;1019.1;1.7
13/4/2022;Απρ;103;10.5;70.8;0.7;292.7;0;124.8;16.8;89.4;2.7;904.3;3.8;46.2;0;1017.3;1016;1018.3;1.5
14/4/2022;Απρ;104;11.9;69.9;0.7;293.2;0;155.1;18.6;92.6;3.4;898.5;4.1;41.5;0;1018.5;1017.3;1019.9;1.5
15/4/2022;Απρ;105;13.8;59.5;0.7;286.3;0;168.1;21.4;87.6;2.8;923.8;5.5;34.6;0;1017;1013.5;1019.9;1.5
16/4/2022;Απρ;106;14.4;62.4;0.3;180.5;0;138.8;21.2;80.9;1.8;769.1;7.8;39.6;0;1010.8;1008.7;1013.5;1.1
17/4/2022;Απρ;107;11.8;85.8;1.3;29.2;2;98.6;15.2;100;3.6;170.4;6.6;71;0;1006.7;1004.4;1008.9;2.1
18/4/2022;Απρ;108;8.7;66.8;2.8;162.5;2;46.5;12.4;77.4;5.4;889.2;7.4;56.6;0.3;1007.2;1005.1;1009.9;2.8
19/4/2022;Απρ;109;7.6;77;0.5;94.3;1;90.1;10.9;93;2.3;884.3;5.8;63.1;0;1010.4;1008.4;1013.5;1.3
20/4/2022;Απρ;110;9.7;89.2;0.8;118.3;0.8;124.3;15.2;99.2;4.2;1081.1;4.6;77.5;0;1011.7;1008.4;1013.8;1.8
21/4/2022;Απρ;111;11.5;80.7;0.7;223.3;0.8;165.7;15.5;93.9;2.6;1033.7;6.8;65.7;0;1013.2;1010.5;1014.8;1.7
22/4/2022;Απρ;112;13.9;79.9;0.4;234.5;0.4;107;19.8;99.7;1.8;1035.2;9;48;0;1010.6;1006.6;1014;1.2
23/4/2022;Απρ;113;14.8;82.6;0.5;282.5;0.6;128.9;20.8;97.6;3;1014.2;8.5;62.6;0;1005.1;1004.1;1007.1;1.6
24/4/2022;Απρ;114;16.3;78.3;0.5;296.5;0.2;139.8;22.7;100;2.8;904.3;8.6;41.1;0;1007.4;1006.1;1008.9;1.3
25/4/2022;Απρ;115;16.5;71;0.6;285.6;0.2;173.5;22.3;92.7;2.6;831.6;10.8;51.6;0;1005.9;1004.9;1007.1;1.6
26/4/2022;Απρ;116;17.9;71.1;0.7;299.1;0.2;155.7;23.9;97;2.6;895.5;10.8;45.4;0;1008;1006.9;1010.5;1.7
27/4/2022;Απρ;117;19.7;56.8;0.8;303.1;0;155.8;23.8;80.8;3.2;911.6;14.7;39.2;0;1011.1;1010.2;1012.7;1.8
28/4/2022;Απρ;118;19;60.4;0.5;303.6;0;166.4;24.6;83;2.7;905.8;12.6;36;0;1012;1011;1014.8;1.4
29/4/2022;Απρ;119;19.2;52.5;2.1;270.4;0;63.7;22.5;65.7;5.7;954.6;15.8;42.6;0.1;1014.7;1013;1015.8;3.3
30/4/2022;Απρ;120;18;59.2;1.9;222.9;0;90.2;21.9;77.3;5.7;1048.8;14.5;40.2;0;1014.8;1013.3;1016;2.9
1/5/2022;Μαϊ;121;16.2;62.5;1.1;205.4;0;127.3;20.3;85.3;3.3;907.2;11.7;33.4;0;1015.3;1013.5;1016.6;1.9
2/5/2022;Μαϊ;122;15.8;60.7;1.7;204;0;76;20.3;86.4;4;1079.1;10.3;36.7;0;1010.9;1008.4;1014.3;2.5
3/5/2022;Μαϊ;123;13.7;68.3;1.2;173.4;0.2;65;17;86.2;4.3;1167;10.8;50.8;0;1010.7;1008.9;1013.3;2
4/5/2022;Μαϊ;124;14.2;68.1;1.3;299.2;0;198.4;20.4;93.8;5.1;1097.2;7.2;41;0;1014.2;1013.3;1016;2.1
5/5/2022;Μαϊ;125;15;73.9;0.7;251;0;166;21.6;94.7;3.9;1202.7;8.4;43.3;0;1017.5;1016;1019.4;1.5
6/5/2022;Μαϊ;126;15.5;69.7;0.9;250.6;0;153.9;20.8;96;4;922.9;10.5;42.9;0;1019.1;1017.1;1020.4;1.7
7/5/2022;Μαϊ;127;14.9;63.9;1;317.7;0;142.6;20.7;87.8;3.5;973.2;8.3;39.6;0;1017.8;1016;1019.6;1.9
8/5/2022;Μαϊ;128;15.1;64.6;0.7;325.5;0;201.9;21.1;89.9;3.4;968.8;6.8;35.4;0;1017.1;1015.3;1018.6;1.5
9/5/2022;Μαϊ;129;15.3;66.1;0.9;339.2;0;172.3;21.1;92.2;3.3;961.9;8.5;41.1;0;1017.2;1016;1018.3;1.8
10/5/2022;Μαϊ;130;15.5;64.4;0.9;332.5;0;218.1;21.5;91.7;3.4;940.9;8.5;33.5;0;1016.2;1013.5;1018.1;1.7
11/5/2022;Μαϊ;131;16.1;58.5;0.9;298.9;0;216.6;22.9;88;3.6;1054.7;7.9;30.7;0;1016;1014.8;1017.6;1.8
12/5/2022;Μαϊ;132;18;63.7;0.7;303.2;0;146.3;24.6;84.8;3.7;953.1;11.2;36.1;0;1017.3;1016;1018.1;1.6
13/5/2022;Μαϊ;133;19.4;59.2;0.8;330.6;0;196.9;26.5;88.6;3.1;943.9;11.9;31;0;1014.3;1012;1016.8;1.7
14/5/2022;Μαϊ;134;18.2;67.1;0.8;286.3;0;168.1;24.4;86.7;3.1;1025.9;11.5;44.2;0;1011.7;1010.5;1012.7;1.8
15/5/2022;Μαϊ;135;19.9;73.2;0.9;276;3.4;156.4;25.1;93.2;2.9;1056.7;15.1;49.7;0;1013.1;1011.5;1015;2
16/5/2022;Μαϊ;136;20.5;71.1;0.6;296.5;0;125.7;26;90.7;3.2;939;14.2;51.6;0;1014.7;1013.3;1016;1.7
17/5/2022;Μαϊ;137;20.6;70.8;0.8;323.6;0;128.6;26.3;92.9;3.4;922.9;14.3;49.5;0;1012.6;1009.9;1014.8;1.9
18/5/2022;Μαϊ;138;17.4;75.8;1.5;178.3;2.8;88.7;26.3;100;5.6;1108.4;12.9;49.5;0;1011;1002.6;1021.1;2.4
19/5/2022;Μαϊ;139;15.9;56.1;1.3;348.9;2.2;107.5;21.4;84.9;4.5;1004.4;8.2;34.1;0;1022.9;1021.1;1024.4;2.3
20/5/2022;Μαϊ;140;17.4;61.7;1.1;346.2;1.2;164.2;24.9;90.4;4.8;966.8;9.4;30;0;1021.2;1018.3;1023.7;2
21/5/2022;Μαϊ;141;18.7;64.2;0.9;338.5;0.6;220.9;26.7;91.8;3.3;1037.6;10.8;32.6;0;1013.7;1009.7;1018.3;1.8
22/5/2022;Μαϊ;142;19.7;70.3;0.4;193.5;0.4;144.5;27.1;91.2;2.6;1110.4;12.6;41;0;1006.2;1003.8;1009.7;1.3
23/5/2022;Μαϊ;143;20.5;67.6;0.7;258.1;0.6;166.6;26.8;94.1;3.6;951.2;14.5;38.2;0;1005.3;1004.1;1006.4;1.6
24/5/2022;Μαϊ;144;20;69.4;0.6;299;0;138.6;25.6;91.6;2.5;945.8;14.8;40.8;0;1008.4;1006.6;1010.5;1.5
25/5/2022;Μαϊ;145;21.5;70.7;0.6;326.4;0;163.3;27.1;93.8;2.4;911.1;16.1;49.3;0;1012.3;1009.4;1014.8;1.7
26/5/2022;Μαϊ;146;21.9;75.1;0.6;273.9;0;120.2;28.6;93.1;3.4;948.3;16;51.9;0;1014;1012.7;1015.3;1.7
27/5/2022;Μαϊ;147;23.4;66;0.6;226.4;0.2;182.5;29.8;85.7;2.8;975.6;18;39.4;0;1013.5;1010.2;1015.5;1.6
28/5/2022;Μαϊ;148;23.6;60.7;0.5;289.3;0;127.6;29.6;86.1;3.2;967.3;18.1;41.3;0;1007.7;1005.9;1010.5;1.6
29/5/2022;Μαϊ;149;23.3;60.6;1;231.3;0;87.2;28.7;92.8;3.7;1022;19;42.8;0;1003.8;1000.8;1006.4;2.2
30/5/2022;Μαϊ;150;21.6;75.1;0.8;327;0;169.4;26.9;98.1;3;1042.5;15.4;48.2;0;1006.3;1003.1;1010.2;1.9
31/5/2022;Μαϊ;151;21.5;71.5;0.3;211.3;0;133.9;28.8;93.5;2.3;904.3;17.2;40.3;0;1011.3;1009.9;1012.2;1.2
1/6/2022;Ιουν;152;23.7;59.7;0.9;329.3;0;193;31;88.2;4.4;941.9;16;35;0;1011;1009.2;1012;2.1
2/6/2022;Ιουν;153;25.9;54.5;1.6;335.5;0;111.9;32;82.4;4.5;971.7;17.9;34.3;0;1010.6;1008.9;1011.5;3.1
3/6/2022;Ιουν;154;27;52.3;1.6;325.3;0;97.2;32.9;78.4;5.1;949.2;19.3;34.6;0;1011.8;1010.7;1013.8;3.2
4/6/2022;Ιουν;155;27.1;55.5;0.8;288.3;9.6;97.7;32.9;72.1;3.1;974.6;21.7;30.7;0;1012.8;1008.9;1014.5;1.9
5/6/2022;Ιουν;156;25.4;68.2;0.7;309.4;2.6;174.5;32;91.6;3.8;1007.8;19;45;0;1010.4;1008.2;1013.3;1.9
6/6/2022;Ιουν;157;21.6;77.9;0.6;129.1;2.4;166;28.1;95.1;4.2;1049.3;18.5;49.7;0;1009.3;1007.7;1011.2;1.6
7/6/2022;Ιουν;158;21.9;67.9;1.6;301.5;0.8;112.4;27.1;95.6;4.5;1126;16.8;38.3;0;1009.6;1007.1;1011.5;2.6
8/6/2022;Ιουν;159;21.2;66.4;1.2;253.6;0;191.1;25.4;83.6;3.7;1040.5;15.9;48.8;0;1006.8;1005.6;1008.4;2.4
9/6/2022;Ιουν;160;21.5;77;0.7;249.7;0;166.5;25.9;98.5;3.2;1085;17.1;51.1;0;1004.3;1002.8;1006.1;1.8
10/6/2022;Ιουν;161;18.3;95.4;0.7;34.2;2.2;61.6;19.6;100;3.4;357.4;16.1;80.6;0;1004;1002.8;1005.6;2
11/6/2022;Ιουν;162;19.4;86.1;0.7;160.2;1.6;163.1;25;100;6.2;1031.8;15.9;64.8;0;1004.5;1003.3;1006.6;1.9
12/6/2022;Ιουν;163;20.3;85.4;0.4;88.8;1.2;200.2;23.5;97.7;2.3;507.8;17.8;62.7;0;1005.9;1004.6;1007.7;1.6
13/6/2022;Ιουν;164;25.3;54.1;0.6;302.2;0.8;81.7;30.2;91.6;3.2;1032.7;19.6;41.8;0;1007.2;1006.1;1008.9;1.8
14/6/2022;Ιουν;165;23.2;66.7;1.1;285;0.8;120.5;30.2;91.3;7.7;950.2;18.9;37.6;0;1009.7;1008.4;1012.2;2.2
15/6/2022;Ιουν;166;22.5;67.3;0.6;243.4;0.6;180.9;27.2;84.8;3.7;1193.4;18.7;50.3;0;1013.7;1012.2;1015;1.8
16/6/2022;Ιουν;167;22.1;71.2;1;303;0.4;168.3;27.3;94.1;3.2;1142.6;17.5;43.9;0;1014.9;1013.5;1015.5;2
17/6/2022;Ιουν;168;21.6;64.9;0.8;347.3;0.4;219.2;27.4;94.6;2.9;966.8;15.1;33.3;0;1013.4;1011;1015.5;1.7
